area,source_file,key,plural_category,plural_category_required_for_locales,english_source,context,placeholders_keep_exact,glossary_terms_to_review,current_de,current_es,current_fr,current_ja,current_ko,current_pl,current_pt-br,current_pt-pt,current_ru,current_zh-cn,current_zh-tw
webview,src/webviews/i18n/en.json,a11y.resizeRepositoryColumn,,,Resize repository column,Webview UI string.,,,Größe der Repositoryspalte ändern,Cambiar el tamaño de la columna del repositorio,Redimensionner la colonne du dépôt,リポジトリ列のサイズを変更,리포지토리 열 크기 조정,Zmień rozmiar kolumny repozytorium,Redimensionar a coluna do repositório,Redimensionar a coluna do repositório,Изменить размер столбца репозитория,调整存储库列大小,調整存放庫資料行大小
manifest,package.nls.json,intelligit,,,IntelliGit,VS Code extension manifest metadata.,,IntelliGit,IntelliGit,IntelliGit,IntelliGit,IntelliGit,인텔리깃,IntelliGit,IntelliGit,IntelliGit,IntelliGit,IntelliGit,IntelliGit
manifest,package.nls.json,extension.description,,,"The best Git features from PyCharm, VS Code, and Visual Studio IDE.",VS Code Marketplace/extension description.,,PyCharm; VS Code; Visual Studio IDE; Git,"The best Git features from PyCharm, VS Code, and Visual Studio IDE.","The best Git features from PyCharm, VS Code, and Visual Studio IDE.","The best Git features from PyCharm, VS Code, and Visual Studio IDE.","The best Git features from PyCharm, VS Code, and Visual Studio IDE.","The best Git features from PyCharm, VS Code, and Visual Studio IDE.","The best Git features from PyCharm, VS Code, and Visual Studio IDE.","The best Git features from PyCharm, VS Code, and Visual Studio IDE.","The best Git features from PyCharm, VS Code, and Visual Studio IDE.","The best Git features from PyCharm, VS Code, and Visual Studio IDE.","The best Git features from PyCharm, VS Code, and Visual Studio IDE.","The best Git features from PyCharm, VS Code, and Visual Studio IDE."
manifest,package.nls.json,view.commit,,,Commit,VS Code view title.,,Commit,Commit,Commit,Commit,コミット,커밋,Commit,Commit,Commit,Коммит,提交,提交
manifest,package.nls.json,view.graph,,,Graph,VS Code view title.,,,Graph,Gráfico,Graphique,グラフ,그래프,Wykres,Gráfico,Gráfico,График,图形,圖形
manifest,package.nls.json,view.mergeConflicts,,,Merge Conflicts,VS Code view title.,,Merge,Zusammenführungskonflikte,Fusionar conflictos,Conflits de fusion,マージの競合,병합 충돌,Scalanie konfliktów,Conflitos de mesclagem,Conflitos de mesclagem,Конфликты слияния,合并冲突,合併衝突
manifest,package.nls.json,command.showGitLog,,,Show Git Log,VS Code command palette/menu command label.,,Git,Git-Protokoll anzeigen,Mostrar registro de Git,Afficher le journal Git,Gitログを表示,Git 로그 보기,Pokaż dziennik Git,Exibir registro do Git,Exibir registro do Git,Показать лог Git,显示 Git 日志,顯示 Git 日誌
manifest,package.nls.json,command.undock,,,Undock...,VS Code command palette/menu command label.,,,Abdocken...,Desacoplar...,Détacher...,ドッキング解除...,도킹 해제...,Oddokuj...,Desencaixar...,Desencaixar...,Открепить...,取消停靠...,取消停靠...
manifest,package.nls.json,command.dockIntelliGit,,,Dock IntelliGit,VS Code command palette/menu command label.,,IntelliGit,IntelliGit andocken,Dock IntelliGit,Dock IntelliGit,ドック IntelliGit,IntelliGit 도킹,Dock IntelliGit,Dock IntelliGit,Dock IntelliGit,Прикрепить IntelliGit,停靠 IntelliGit,停靠 IntelliGit
manifest,package.nls.json,command.refresh,,,Refresh,VS Code command palette/menu command label.,,,Aktualisieren,Refrescar,Rafraîchir,更新,새로 고치다,Odświeżać,Atualizar,Atualizar,Обновить,刷新,重新整理
manifest,package.nls.json,command.filterByBranch,,,Filter by Branch,VS Code command palette/menu command label.,,Branch,Nach Branch filtern,Filtrar por rama,Filtrer par branche,ブランチで絞り込む,브랜치별 필터링,Filtruj według brancha,Filtrar por branch,Filtrar por branch,Фильтр по ветке,按分支筛选,依分支篩選
manifest,package.nls.json,command.selectRepository,,,Select Repository,VS Code command palette/menu command label.,,,Repository auswählen,Seleccionar repositorio,Sélectionner le dépôt,リポジトリを選択,저장소 선택,Wybierz repozytorium,Selecionar Repositório,Selecionar Repositório,Выберите репозиторий,选择存储库,選擇儲存庫
manifest,package.nls.json,command.checkout,,,Checkout,VS Code command palette/menu command label.,,Checkout,Checkout,Checkout,Checkout,チェックアウト,체크아웃,Checkout,Checkout,Checkout,Извлечь,检出,簽出
